Source	Size
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/ajax/AjaxClient.scala	2827
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/Packages.scala	2778
file:/shipreq/webapp-client-public/shipreq/webapp/client/public/spa/Layout.scala	2740
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/binary/v1/BaseData.scala	2677
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/builder/Builder.scala	2637
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/ListSet.scala	2632
file:/shipreq/webapp-base/shipreq/webapp/base/lib/ValidationUX.scala	2616
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/router/RoutingRule.scala	2594
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/Js.scala	2538
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/ChampCommon.scala	2536
https:/raw.githubusercontent.com/scala/v2.13.1/collection/SeqView.scala	2534
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/Ajax.scala	2480
https:/raw.githubusercontent.com/scala/v2.13.1/collection/Factory.scala	2386
https:/raw.githubusercontent.com/scala/v2.13.1/collection/IterableOnce.scala	2376
https:/raw.githubusercontent.com/scala/v2.13.1/math/Ordering.scala	2359
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/HtmlTags.scala	2355
file:/shipreq/webapp-base/shipreq/webapp/base/user/UserData.scala	2305
file:/shipreq/frontend/dist/prod/scala/AssetManifest.scala	2293
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/Reusable.scala	2264
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/router/Urls.scala	2259
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/Version.scala	2253
file://localhome/doeraene/projects/scalajs-java-time/java/time/Month.scala	2219
file://localhome/doeraene/projects/scalajs-java-time/java/time/Duration.scala	2203
https:/raw.githubusercontent.com/scala/v2.13.1/util/Either.scala	2179
https:/raw.githubusercontent.com/scala-js/v0.6.32/library/src/main/scala-new-collections/scala/scalajs/js/WrappedDictionary.scala	2124
https:/raw.githubusercontent.com/scala/v2.13.1/PartialFunction.scala	2123
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/StateSnapshot.scala	2103
https:/raw.githubusercontent.com/scala/v2.13.1/math/BigInt.scala	2088
file:/shipreq/webapp-base/shipreq/webapp/base/lib/BrowserStorage.scala	2055
file:/shipreq/webapp-base/shipreq/webapp/base/validation/CommonValidation.scala	2006
https:/raw.githubusercontent.com/scala/v2.13.1/collection/StringOps.scala	1989
https:/raw.githubusercontent.com/scala/v2.13.1/collection/LinearSeq.scala	1976
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/common.scala	1930
file:/shipreq/webapp-base/shipreq/webapp/base/user/UserValidators.scala	1888
file://localhome/doeraene/projects/scalajs-java-time/java/time/temporal/ValueRange.scala	1834
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/System.scala	1827
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/nio/Buffer.scala	1807
https:/raw.githubusercontent.com/scalaz/scalaz/v7.2.30/core/scalaz/Either.scala	1792
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Input.scala	1791
file:/shipreq/base-util/shipreq/base/util/Url.scala	1783
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/internal/Effect.scala	1783
https:/raw.githubusercontent.com/scala/v2.13.1/collection/Iterable.scala	1758
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/HtmlAttrs.scala	1729
https:/raw.githubusercontent.com/julien-truffaut/Monocle/v1.6.0/core/monocle/Iso.scala	1728
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/ComponentDom.scala	1717
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/ServerSideProcInvoker.scala	1716
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/Seq.scala	1714
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/Character.scala	1694
file:/shipreq/webapp-base/shipreq/webapp/base/util/TextMod.scala	1682
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/TagMod.scala	1678
https:/raw.githubusercontent.com/suzaku-io/boopickle/v1.3.1/boopickle/IdentList.scala	1655
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/math/Elementary.scala	1643
file:/shipreq/webapp-base/shipreq/webapp/base/validation/Composite.scala	1639
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/Integer.scala	1607
https:/raw.githubusercontent.com/scala/v2.13.1/collection/Map.scala	1607
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/math/Multiplication.scala	1604
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/router/Actions.scala	1591
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/WrappedString.scala	1590
https:/raw.githubusercontent.com/scala/v2.13.1/collection/Seq.scala	1582
https:/raw.githubusercontent.com/scala-js/v0.6.32/scalalib/overrides-2.13/scala/Array.scala	1578
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/util/regex/Pattern.scala	1576
https:/raw.githubusercontent.com/scala/v2.13.1/util/Sorting.scala	1576
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/CallbackKleisli.scala	1572
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/Tag.scala	1571
file:/shipreq/webapp-base/shipreq/webapp/base/util/ResourceHint.scala	1552
[EOLs]	1550
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/Scala.scala	1549
https:/raw.githubusercontent.com/scala/v2.13.1/Tuple2.scala	1547
https:/raw.githubusercontent.com/scala/v2.13.1/collection/mutable/ListBuffer.scala	1530
https:/raw.githubusercontent.com/scala/v2.13.1/collection/mutable/StringBuilder.scala	1493
https:/raw.githubusercontent.com/japgolly/microlibs-scala/v2.2/japgolly/microlibs/nonempty/NonEmptyVector.scala	1483
file:/shipreq/webapp-base/shipreq/webapp/base/data/Agreement.scala	1464
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/Ref.scala	1464
file:/shipreq/base-util/shipreq/base/util/Permission.scala	1461
file://localhome/doeraene/projects/scalajs-java-time/java/time/temporal/ChronoUnit.scala	1459
file:/shipreq/base-util/shipreq/base/util/GenTuple.scala	1457
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/Template.scala	1439
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/Math.scala	1424
file:/shipreq/base-util/shipreq/base/util/Validity.scala	1417
https:/raw.githubusercontent.com/japgolly/univeq/v1.2.0/japgolly/univeq/UnivEq.scala	1416
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/Builder.scala	1409
https:/raw.githubusercontent.com/scala/v2.13.1/collection/IndexedSeq.scala	1398
https:/raw.githubusercontent.com/scala/v2.13.1/util/Try.scala	1393
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/Implicits.scala	1365
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/router/RouterCtl.scala	1356
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/package.scala	1353
https:/raw.githubusercontent.com/scala-js/v0.6.32/scalalib/overrides-2.13/scala/collection/mutable/ArrayBuilder.scala	1336
https:/raw.githubusercontent.com/suzaku-io/boopickle/v1.3.1/shared/src/main/scala-2.13+/boopickle/XCompat.scala	1328
https:/raw.githubusercontent.com/suzaku-io/boopickle/v1.3.1/boopickle/CodecSize.scala	1322
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/CallbackOption.scala	1317
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/Double.scala	1285
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/math/BitLevel.scala	1272
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/util/regex/Matcher.scala	1271
https:/raw.githubusercontent.com/scalaz/scalaz/v7.2.30/core/scalaz/Endo.scala	1265
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/internal/Optics.scala	1255
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/StringBuilder.scala	1245
https:/raw.githubusercontent.com/scala/v2.13.1/Predef.scala	1238
https:/raw.githubusercontent.com/suzaku-io/boopickle/v1.3.1/boopickle/BufferPool.scala	1237
