Source	Size
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/common.scala	3195
file:/shipreq/webapp-base-member/shipreq/webapp/base/ui/PlainTextEditor.scala	3179
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/util/Throwables.scala	3171
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/util/HashMap.scala	3131
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Style.scala	3123
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/TreeSet.scala	3113
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/Attr.scala	3089
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/Callback.scala	2984
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Values.scala	2961
https:/raw.githubusercontent.com/scala/v2.13.1/collection/Map.scala	2936
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/AsyncCallback.scala	2905
file:/shipreq/webapp-base/shipreq/webapp/base/util/CharSubset.scala	2896
https:/raw.githubusercontent.com/scala/v2.13.1/collection/Factory.scala	2886
file:/shipreq/webapp-base-member/shipreq/webapp/base/ui/MemberNavBar.scala	2880
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Compose.scala	2877
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Env.scala	2862
file:/shipreq/webapp-base/shipreq/webapp/base/feature/AsyncFeature.scala	2846
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/TreeMap.scala	2840
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/ajax/AjaxClient.scala	2816
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/ListSet.scala	2693
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/CanIUse2.scala	2684
https:/raw.githubusercontent.com/scala-js/v0.6.32/scalalib/overrides-2.13/scala/Array.scala	2620
file:/shipreq/webapp-base/shipreq/webapp/base/Urls.scala	2611
https:/raw.githubusercontent.com/scala/v2.13.1/util/matching/Regex.scala	2608
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/builder/Builder.scala	2570
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/ChampCommon.scala	2564
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/Ajax.scala	2508
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/mutable/StyleSheet.scala	2507
https:/raw.githubusercontent.com/scala/v2.13.1/collection/IndexedSeq.scala	2437
https:/raw.githubusercontent.com/scala/v2.13.1/collection/Iterable.scala	2432
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/Reusable.scala	2391
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/Js.scala	2384
[no source]	2380
https:/raw.githubusercontent.com/scala-js/v0.6.32/library/src/main/scala-new-collections/scala/scalajs/js/WrappedDictionary.scala	2284
file:/shipreq/frontend/dist/prod/scala/AssetManifest.scala	2264
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/Version.scala	2257
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/nio/Buffer.scala	2091
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/CssEntry.scala	2082
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/Character.scala	2056
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/package.scala	2048
file://localhome/doeraene/projects/scalajs-java-time/java/time/LocalDate.scala	2047
file://localhome/doeraene/projects/scalajs-java-time/java/time/Instant.scala	2040
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/AVs.scala	2010
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Icon.scala	2003
https:/raw.githubusercontent.com/scala/v2.13.1/collection/LinearSeq.scala	1985
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/ServerSideProcInvoker.scala	1953
https:/raw.githubusercontent.com/scala/v2.13.1/util/Either.scala	1934
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/Integer.scala	1919
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/util/regex/Pattern.scala	1897
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/util/regex/Matcher.scala	1888
https:/raw.githubusercontent.com/scala/v2.13.1/collection/Seq.scala	1875
https:/raw.githubusercontent.com/scala/v2.13.1/collection/StringOps.scala	1854
file://localhome/doeraene/projects/scalajs-java-time/java/time/Month.scala	1853
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/System.scala	1828
file:/shipreq/base-util/shipreq/base/util/Url.scala	1798
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/internal/Effect.scala	1785
[EOLs]	1760
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/Seq.scala	1743
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/ComponentDom.scala	1709
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/NonEmptyVector.scala	1688
