Source	Size
https:/raw.githubusercontent.com/scala/v2.13.1/math/Ordering.scala	12630
file:/shipreq/webapp-base-member/shipreq/webapp/base/event/EventSeqSummary.scala	12627
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/TreeSeqMap.scala	12568
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/create/FieldKey.scala	12333
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/RedBlackTree.scala	12253
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/LoadedRoot.scala	11948
file:/shipreq/webapp-base-member/shipreq/webapp/base/protocol/binary/v1/BaseMemberData2.scala	11918
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/websocket/WebSocketClient.scala	11917
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/ProjectConfig.scala	11834
https:/raw.githubusercontent.com/scala/v2.13.1/collection/SeqView.scala	11614
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/builder/Lifecycle.scala	11567
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/RichTextEditor.scala	11328
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/ProjectWidgets.scala	11078
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/tags/TagGroupEditor.scala	10913
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/UnsavedChanges.scala	10876
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Form.scala	10849
https:/raw.githubusercontent.com/scala-js/v0.6.32/scalalib/overrides-2.13/scala/collection/immutable/Range.scala	10785
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/ArraySeq.scala	10511
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/tags/ApplicableTagEditor.scala	10505
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Menu.scala	10492
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/binary/v1/BaseData.scala	10366
https:/raw.githubusercontent.com/scalaz/scalaz/v7.2.30/core/scalaz/Either.scala	10133
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/ProjectIndex.scala	10132
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/LazyList.scala	10013
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/VdomNode.scala	9979
file:/shipreq/webapp-base-member/shipreq/webapp/base/protocol/websocket/ProjectSpaProtocols.scala	9964
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/reqtable/SavedViews.scala	9858
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/issues/Row.scala	9764
https:/raw.githubusercontent.com/scala-js/v0.6.32/scalalib/overrides-2.13/scala/reflect/Manifest.scala	9710
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/ajax/CommonProtocols.scala	9639
https:/raw.githubusercontent.com/scala/v2.13.1/collection/mutable/ArraySeq.scala	9613
https:/raw.githubusercontent.com/scala-js/v0.6.32/library/scala/scalajs/runtime/RuntimeString.scala	9554
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/tags/TagRelationshipEditor.scala	9498
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/EditorButtons.scala	9454
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/reqtypes/ReqTypeConfig.scala	9312
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/tags/TagConfig.scala	9297
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/create/Feature.scala	9272
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqtable/Logic.scala	9208
file:/shipreq/base-util/shipreq/base/util/StateEither.scala	9174
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/mutable/StyleSheet.scala	9063
file:/shipreq/webapp-base-member/shipreq/webapp/base/text/TextSearch.scala	8985
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/FilterHelp.scala	8932
